Status,Offer ID,应用名称,系统,客户名称,合作模式,投放地区,单价,投放起始,投放截止,销售名称,最后修改
active,39,11,iOS,aewsda,服务费,,0.0,2017-03-30,2017-03-30,刘三金,2017-03-31 00:05:54
active,38,11,iOS,aewsda,cpa,CN,0,2017-01-01,2017-12-31,刘三金,2017-03-31 00:17:00
inactive,37,11,iOS,aewsda,cpa,CN,0,2017-01-01,2017-12-31,刘三金,2017-03-31 00:38:32
active,36,,iOS,aewsda,服务费,,0.0,2017-03-30,2017-03-30,刘三金,2017-03-31 00:44:45
inactive,34,solo-http,Android,12,cpa,US,1.0,2017-03-27,2047-03-27,刘三金,2017-03-27 11:39:19
active,33,Yummy Cookie,iOS,原始1,cpa,"AU,CA,US,GB",0.0,2017-03-01,2047-03-06,刘三金,2017-03-09 10:16:49
active,32,wer,Android,公司名称1,cpa,TH,3.2,2017-03-02,2017-03-08,刘三金,2017-03-06 10:46:39
active,30,lalalalala,iOS,12,cpa,"AF,AI",2.5,2017-03-02,2017-03-24,yangyang,2017-03-02 18:36:14
active,29,wer,Android,公司名称1,cpa,TH,3.2,2017-03-02,2017-03-08,刘三金,2017-03-03 18:34:00
active,28,APP 名称,iOS,原始1,服务费,"AF,AG,AI",121.0,2017-03-02,2017-03-02,刘大金,2017-03-02 15:29:35
